,Category_Name,Category_ID
0,subject,C0001
1,subject.Art,C0002
2,subject.Business_Studies,C0003
3,subject.Citizenship,C0004
4,subject.Countries,C0005
5,subject.Design_and_Technology,C0006
6,subject.Everyday_life,C0007
7,subject.Geography,C0008
8,subject.History,C0009
9,subject.IT,C0010
10,subject.Language_and_literature,C0011
11,subject.Mathematics,C0012
12,subject.Music,C0013
13,subject.People,C0014
14,subject.Religion,C0015
15,subject.Science,C0016
16,subject.Science.Biology,C0017
17,subject.Science.Chemistry,C0018
18,subject.Science.Physics,C0019
19,subject.Science.Physics.Electricity_and_Electronics,C0020
20,subject.Science.Physics.General_Physics,C0021
21,subject.Science.Physics.Space_Astronomy,C0022
22,subject.Science.Physics.Space_transport,C0023
23,subject.Science.Physics.The_Planets,C0024
24,subject.Science.Chemistry.Chemical_compounds,C0025
25,subject.Science.Chemistry.Chemical_elements,C0026
26,subject.Science.Chemistry.General_Chemistry,C0027
27,subject.Science.Chemistry.Materials_science,C0028
28,subject.Science.Biology.Birds,C0029
29,subject.Science.Biology.Dinosaurs,C0030
30,subject.Science.Biology.Evolution_and_reproduction,C0031
31,subject.Science.Biology.General_Biology,C0032
32,subject.Science.Biology.Health_and_medicine,C0033
33,subject.Science.Biology.Insects_Reptiles_and_Fish,C0034
34,subject.Science.Biology.Mammals,C0035
35,subject.Science.Biology.Organisms,C0036
36,subject.Science.Biology.Plants,C0037
37,subject.Religion.Divinities,C0038
38,subject.Religion.Myths,C0039
39,subject.Religion.Philosophy,C0040
40,subject.Religion.Religious_disputes,C0041
41,subject.Religion.Religious_movements_traditions_and_organizations,C0042
42,subject.Religion.Religious_texts,C0043
43,subject.People.Actors_models_and_celebrities,C0044
44,subject.People.Artists,C0045
45,subject.People.Astronomers_and_physicists,C0046
46,subject.People.Chemists,C0047
47,subject.People.Computing_People,C0048
48,subject.People.Engineers_and_inventors,C0049
49,subject.People.Geographers_and_explorers,C0050
50,subject.People.Historical_figures,C0051
51,subject.People.Human_Scientists,C0052
52,subject.People.Mathematicians,C0053
53,subject.People.Military_People,C0054
54,subject.People.Monarchs_of_Great_Britain,C0055
55,subject.People.Performers_and_composers,C0056
56,subject.People.Philosophers,C0057
57,subject.People.Political_People,C0058
58,subject.People.Producers_directors_and_media_figures,C0059
59,subject.People.Religious_figures_and_leaders,C0060
60,subject.People.Sports_and_games_people,C0061
61,subject.People.USA_Presidents,C0062
62,subject.People.Writers_and_critics,C0063
63,subject.Music.Musical_Instruments,C0064
64,subject.Music.Musical_Recordings_and_compositions,C0065
65,subject.Music.Musical_genres_styles_eras_and_events,C0066
66,subject.Music.Performers_and_composers,C0067
67,subject.Language_and_literature.General_Literature,C0068
68,subject.Language_and_literature.Languages,C0069
69,subject.Language_and_literature.Linguistics,C0070
70,subject.Language_and_literature.Literature_types,C0071
71,subject.Language_and_literature.Novels,C0072
72,subject.Language_and_literature.Poetry_and_Opera,C0073
73,subject.Language_and_literature.Theatre,C0074
74,subject.IT.Computer_Programming,C0075
75,subject.IT.Computing_hardware_and_infrastructure,C0076
76,subject.IT.Cryptography,C0077
77,subject.IT.Software,C0078
78,subject.IT.Websites_and_the_Internet,C0079
79,subject.History.Ancient_History_Classical_History_and_Mythology,C0080
80,subject.History.Archaeology,C0081
81,subject.History.British_History,C0082
82,subject.History.General_history,C0083
83,subject.History.Historians_chroniclers_and_history_books,C0084
84,subject.History.Military_History_and_War,C0085
85,subject.History.North_American_History,C0086
86,subject.History.Pre_1900_Military,C0087
87,subject.History.Recent_History,C0088
88,subject.History.World_War_II,C0089
89,subject.History.British_History.British_History_15001750,C0090
90,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain,C0091
91,subject.History.British_History.British_History_17501900,C0092
92,subject.History.British_History.British_History_Post_1900,C0093
93,subject.Geography.African_Geography,C0094
94,subject.Geography.Antarctica,C0095
95,subject.Geography.Central_and_South_American_Geography,C0096
96,subject.Geography.Climate_and_the_Weather,C0097
97,subject.Geography.European_Geography,C0098
98,subject.Geography.General_Geography,C0099
99,subject.Geography.Geography_of_Asia,C0100
100,subject.Geography.Geography_of_Great_Britain,C0101
101,subject.Geography.Geography_of_Oceania_Australasia,C0102
102,subject.Geography.Geography_of_the_Middle_East,C0103
103,subject.Geography.Geology_and_geophysics,C0104
104,subject.Geography.Mineralogy,C0105
105,subject.Geography.Natural_Disasters,C0106
106,subject.Geography.North_American_Geography,C0107
107,subject.Geography.Peoples,C0108
108,subject.Geography.Storms,C0109
109,subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries,C0110
110,subject.Geography.Geography_of_Asia.Asian_Countries,C0111
111,subject.Geography.European_Geography.European_Countries,C0112
112,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries,C0113
113,subject.Geography.African_Geography.African_Countries,C0114
114,subject.Everyday_life.Cartoons,C0115
115,subject.Everyday_life.Computer_and_Video_games,C0116
116,subject.Everyday_life.Drink,C0117
117,subject.Everyday_life.Everyday_life,C0118
118,subject.Everyday_life.Films,C0119
119,subject.Everyday_life.Food_and_agriculture,C0120
120,subject.Everyday_life.Games,C0121
121,subject.Everyday_life.Recreation,C0122
122,subject.Everyday_life.Sports,C0123
123,subject.Everyday_life.Sports_events,C0124
124,subject.Everyday_life.Sports_teams,C0125
125,subject.Everyday_life.Television,C0126
126,subject.Design_and_Technology.Air_and_Sea_transport,C0127
127,subject.Design_and_Technology.Architecture,C0128
128,subject.Design_and_Technology.Engineering,C0129
129,subject.Design_and_Technology.Railway_transport,C0130
130,subject.Design_and_Technology.Road_transport,C0131
131,subject.Citizenship.Animal_and_Human_Rights,C0132
132,subject.Citizenship.Community_organisations,C0133
133,subject.Citizenship.Conflict_and_Peace,C0134
134,subject.Citizenship.Culture_and_Diversity,C0135
135,subject.Citizenship.Education,C0136
136,subject.Citizenship.Environment,C0137
137,subject.Citizenship.Law,C0138
138,subject.Citizenship.Media,C0139
139,subject.Citizenship.Politics_and_government,C0140
140,subject.Business_Studies.Business,C0141
141,subject.Business_Studies.Companies,C0142
142,subject.Business_Studies.Currency,C0143
143,subject.Business_Studies.Economics,C0144
144,subject.Art.Art,C0145
145,subject.Art.Artists,C0146
