,Category_ID,Number_of_paths_traversed,Number_of_times_traversed,Number_of_shortest_paths_traversed,Number_of_times_shortest_times_traversed
0,C0001,70,70,72,72
1,C0002,0,0,0,0
2,C0003,0,0,0,0
3,C0004,0,0,0,0
4,C0005,44450,44450,21795,25436
5,C0006,0,0,0,0
6,C0007,0,0,0,0
7,C0008,0,0,0,0
8,C0009,0,0,0,0
9,C0010,0,0,0,0
10,C0011,0,0,0,0
11,C0012,3355,3355,1296,1496
12,C0013,0,0,0,0
13,C0014,0,0,0,0
14,C0015,0,0,0,0
15,C0016,0,0,0,0
16,C0017,0,0,0,0
17,C0018,0,0,0,0
18,C0019,0,0,0,0
19,C0020,1902,1902,652,678
20,C0021,6067,6067,2354,2653
21,C0022,7864,7864,3861,4335
22,C0023,2154,2154,979,1080
23,C0024,4992,4992,1880,2034
24,C0025,2070,2070,1221,1436
25,C0026,7518,7518,4215,4974
26,C0027,5359,5359,1113,1162
27,C0028,717,717,495,498
28,C0029,4808,4808,2766,3188
29,C0030,1847,1847,1098,1189
30,C0031,1210,1210,606,618
31,C0032,11257,11257,4843,5109
32,C0033,4931,4931,2553,2720
33,C0034,4671,4671,2061,2229
34,C0035,9903,9903,4424,4840
35,C0036,1098,1098,586,603
36,C0037,6308,6308,3127,3343
37,C0038,1995,1995,1177,1255
38,C0039,1432,1432,424,438
39,C0040,1650,1650,840,900
40,C0041,647,647,468,470
41,C0042,4490,4490,1589,1638
42,C0043,588,588,350,354
43,C0044,417,417,382,385
44,C0045,687,687,472,479
45,C0046,1501,1501,656,673
46,C0047,339,339,212,213
47,C0048,373,373,212,212
48,C0049,945,945,548,570
49,C0050,624,624,312,320
50,C0051,1937,1937,1384,1407
51,C0052,862,862,433,434
52,C0053,588,588,488,500
53,C0054,396,396,239,241
54,C0055,2335,2335,991,1017
55,C0056,1393,1393,1015,1048
56,C0057,1117,1117,690,719
57,C0058,2927,2927,2239,2295
58,C0059,176,176,145,145
59,C0060,1640,1640,1196,1255
60,C0061,656,656,615,637
61,C0062,2103,2103,1428,1498
62,C0063,1997,1997,2561,2636
63,C0064,1082,1082,567,604
64,C0065,238,238,221,221
65,C0066,2504,2504,924,1016
66,C0067,786,786,406,418
67,C0068,392,392,318,318
68,C0069,5631,5631,5737,6012
69,C0070,1373,1373,1386,1387
70,C0071,2205,2205,1446,1452
71,C0072,729,729,539,541
72,C0073,938,938,453,492
73,C0074,2095,2095,1370,1403
74,C0075,1600,1600,333,348
75,C0076,2586,2586,1035,1123
76,C0077,147,147,111,114
77,C0078,2156,2156,897,997
78,C0079,2351,2351,793,836
79,C0080,5729,5729,2334,2464
80,C0081,508,508,245,254
81,C0082,2003,2003,452,455
82,C0083,7764,7764,4491,4724
83,C0084,112,112,107,107
84,C0085,2943,2943,1727,1833
85,C0086,477,477,320,323
86,C0087,1000,1000,579,581
87,C0088,1732,1732,716,737
88,C0089,1686,1686,843,875
89,C0090,1164,1164,502,515
90,C0091,4124,4124,2339,2406
91,C0092,560,560,341,344
92,C0093,3098,3098,1241,1261
93,C0094,5501,5501,2228,2481
94,C0095,453,453,218,225
95,C0096,1973,1973,927,996
96,C0097,4807,4807,1968,2106
97,C0098,7828,7828,3430,3625
98,C0099,9937,9937,2697,2854
99,C0100,3092,3092,1733,1811
100,C0101,12745,12745,5320,6010
101,C0102,2544,2544,1494,1595
102,C0103,773,773,517,523
103,C0104,6111,6111,2701,2947
104,C0105,940,940,399,419
105,C0106,1041,1041,667,677
106,C0107,18492,18492,8208,8844
107,C0108,873,873,587,604
108,C0109,916,916,447,498
109,C0110,1803,1803,1090,1110
110,C0111,6729,6729,4548,4784
111,C0112,16130,16130,7667,8176
112,C0113,3166,3166,2405,2461
113,C0114,4433,4433,2439,2629
114,C0115,1278,1278,1077,1293
115,C0116,1915,1915,932,1041
116,C0117,1171,1171,869,879
117,C0118,4214,4214,1271,1299
118,C0119,2511,2511,1070,1149
119,C0120,10248,10248,4404,4838
120,C0121,631,631,389,400
121,C0122,992,992,523,525
122,C0123,2305,2305,1232,1317
123,C0124,1014,1014,508,514
124,C0125,410,410,314,327
125,C0126,1867,1867,831,884
126,C0127,942,942,471,486
127,C0128,1992,1992,1709,1747
128,C0129,6758,6758,3681,3858
129,C0130,986,986,710,781
130,C0131,488,488,479,484
131,C0132,707,707,340,387
132,C0133,626,626,162,163
133,C0134,215,215,143,143
134,C0135,1228,1228,493,515
135,C0136,1149,1149,386,410
136,C0137,2570,2570,1018,1061
137,C0138,1157,1157,673,707
138,C0139,2795,2795,599,611
139,C0140,9138,9138,2844,3047
140,C0141,2061,2061,806,820
141,C0142,1351,1351,617,633
142,C0143,1119,1119,587,632
143,C0144,1038,1038,508,535
144,C0145,2178,2178,1042,1102
145,C0146,0,0,0,0
